CAS #,substance name,plant name,temperature,compartment,half life[day],target class,chemical class,plant class,compartment class,SMILES,cold storage,logKow,MW(g/mol),Polar Surface Area (A2),chiral center atom,Stereochemical configuration
71751-41-2,abamectin,grapefruit,27.2,fruit,20,insecticide,microorganism derived,fruits,crop (interior),CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,,4.4,1732.15,340,C,complicated
71751-41-2,abamectin,grapefruit,27.2,fruit surface,23,insecticide,microorganism derived,fruits,crop surface,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,,4.4,1732.15,340,C,complicated
71751-41-2,abamectin,lemon,27.2,fruit,3.82,insecticide,microorganism derived,fruits,crop (interior),CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,,4.4,1732.15,340,C,complicated
71751-41-2,abamectin,lemon,27.2,fruit,4.78,insecticide,microorganism derived,fruits,crop (interior),CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,,4.4,1732.15,340,C,complicated
71751-41-2,abamectin,lemon,27.2,fruit,5.29,insecticide,microorganism derived,fruits,crop (interior),CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,,4.4,1732.15,340,C,complicated
71751-41-2,abamectin,lemon,27.2,fruit,6.23,insecticide,microorganism derived,fruits,crop (interior),CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,,4.4,1732.15,340,C,complicated
71751-41-2,abamectin,lemon,27.2,fruit,7.07,insecticide,microorganism derived,fruits,crop (interior),CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,,4.4,1732.15,340,C,complicated
71751-41-2,abamectin,lemon,27.2,fruit,9.17,insecticide,microorganism derived,fruits,crop (interior),CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,,4.4,1732.15,340,C,complicated
71751-41-2,abamectin,lemon,27.2,fruit surface,15,insecticide,microorganism derived,fruits,crop surface,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,,4.4,1732.15,340,C,complicated
71751-41-2,abamectin,lemon,27.2,fruit,20,insecticide,microorganism derived,fruits,crop (interior),CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,,4.4,1732.15,340,C,complicated
71751-41-2,abamectin,orange,21.6,fruit,7,insecticide,microorganism derived,fruits,crop (interior),CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,,4.4,1732.15,340,C,complicated
71751-41-2,abamectin,orange,21.6,fruit surface,31,insecticide,microorganism derived,fruits,crop surface,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,,4.4,1732.15,340,C,complicated
71751-41-2,abamectin,orange,21.6,fruit,38,insecticide,microorganism derived,fruits,crop (interior),CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,,4.4,1732.15,340,C,complicated
71751-41-2,abamectin,strawberry,16.8,fruit,0.98,insecticide,microorganism derived,fruits,crop (interior),CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,,4.4,1732.15,340,C,complicated
71751-41-2,abamectin,tomato,25,fruit,1.06,insecticide,microorganism derived,vegetables,crop (interior),CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,,4.4,1732.15,340,C,complicated
71751-41-2,abamectin,wolfberry,20,fruit,1.34,insecticide,microorganism derived,fruits,crop (interior),CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,,4.4,1732.15,340,C,complicated
71751-41-2,abamectin,wolfberry,20,fruit,1.5,insecticide,microorganism derived,fruits,crop (interior),CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,,4.4,1732.15,340,C,complicated
30560-19-1,acephate,chilli,24.3,fruit,1.88,insecticide,organophosphate,vegetables,crop (interior),CC(=O)NP(=O)(OC)SC,,-0.8,183.17,55.4,P,mixed
30560-19-1,acephate,cucumber,19.6,fruit,3.68,insecticide,organophosphate,vegetables,crop (interior),CC(=O)NP(=O)(OC)SC,,-0.8,183.17,55.4,P,mixed
30560-19-1,acephate,lemon,27.2,fruit,8.2,insecticide,organophosphate,fruits,crop (interior),CC(=O)NP(=O)(OC)SC,,-0.8,183.17,55.4,P,mixed
30560-19-1,acephate,lemon,27.2,fruit,8.2,insecticide,organophosphate,fruits,crop (interior),CC(=O)NP(=O)(OC)SC,,-0.8,183.17,55.4,P,mixed
30560-19-1,acephate,mango,23.4,fruit surface,4.75,insecticide,organophosphate,fruits,crop surface,CC(=O)NP(=O)(OC)SC,,-0.8,183.17,55.4,P,mixed
30560-19-1,acephate,mango,23.4,fruit surface,4.88,insecticide,organophosphate,fruits,crop surface,CC(=O)NP(=O)(OC)SC,,-0.8,183.17,55.4,P,mixed
30560-19-1,acephate,olive,15.5,fruit,12,insecticide,organophosphate,fruits,crop (interior),CC(=O)NP(=O)(OC)SC,,-0.8,183.17,55.4,P,mixed
30560-19-1,acephate,olive,15.5,fruit,12.7,insecticide,organophosphate,fruits,crop (interior),CC(=O)NP(=O)(OC)SC,,-0.8,183.17,55.4,P,mixed
30560-19-1,acephate,orange,21.6,fruit,8.7,insecticide,organophosphate,fruits,crop (interior),CC(=O)NP(=O)(OC)SC,,-0.8,183.17,55.4,P,mixed
30560-19-1,acephate,peach,23.5,fruit,12,insecticide,organophosphate,fruits,crop (interior),CC(=O)NP(=O)(OC)SC,,-0.8,183.17,55.4,P,mixed
30560-19-1,acephate,pepper fruit,20.5,fruit,6.04,insecticide,organophosphate,vegetables,crop (interior),CC(=O)NP(=O)(OC)SC,,-0.8,183.17,55.4,P,mixed
30560-19-1,acephate,tomato,25,fruit,5.8,insecticide,organophosphate,vegetables,crop (interior),CC(=O)NP(=O)(OC)SC,,-0.8,183.17,55.4,P,mixed
135410-20-7,acetamiprid,apple,21.4,fruit,2.2,insecticide,neonicotinoid,fruits,crop (interior),CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,,1.4,222.68,52.28,C,S
135410-20-7,acetamiprid,apple,21.4,fruit,3.3,insecticide,neonicotinoid,fruits,crop (interior),CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,,1.4,222.68,52.28,C,S
135410-20-7,acetamiprid,apple,21.4,fruit,3.8,insecticide,neonicotinoid,fruits,crop (interior),CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,,1.4,222.68,52.28,C,S
135410-20-7,acetamiprid,apple,21.4,fruit,5.1,insecticide,neonicotinoid,fruits,crop (interior),CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,,1.4,222.68,52.28,C,S
135410-20-7,acetamiprid,chilli,24.3,fruit,2.24,insecticide,neonicotinoid,vegetables,crop (interior),CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,,1.4,222.68,52.28,C,S
135410-20-7,acetamiprid,chilli,24.3,fruit,3.23,insecticide,neonicotinoid,vegetables,crop (interior),CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,,1.4,222.68,52.28,C,S
135410-20-7,acetamiprid,chilli,24.3,fruit,4.23,insecticide,neonicotinoid,vegetables,crop (interior),CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,,1.4,222.68,52.28,C,S
135410-20-7,acetamiprid,chilli,24.3,fruit,4.84,insecticide,neonicotinoid,vegetables,crop (interior),CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,,1.4,222.68,52.28,C,S
135410-20-7,acetamiprid,cowpea,24.3,fruit,3,insecticide,neonicotinoid,vegetables,crop (interior),CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,,1.4,222.68,52.28,C,S
135410-20-7,acetamiprid,okra,29.3,fruit,2.3,insecticide,neonicotinoid,vegetables,crop (interior),CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,,1.4,222.68,52.28,C,S
135410-20-7,acetamiprid,peach,23.5,fruit,8.77,insecticide,neonicotinoid,fruits,crop (interior),CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,,1.4,222.68,52.28,C,S
135410-20-7,acetamiprid,zucchini,15.9,fruit,1.87,insecticide,neonicotinoid,vegetables,crop (interior),CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,,1.4,222.68,52.28,C,S
135410-20-7,acetamiprid,zucchini,15.9,fruit,1.94,insecticide,neonicotinoid,vegetables,crop (interior),CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,,1.4,222.68,52.28,C,S
101007-06-1,acrinathrin,green bean,18.7,fruit,0.98,insecticide,pyrethroid,vegetables,crop (interior),CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F)C  ,,6.8,541.44,85.62,C,RRS
101007-06-1,acrinathrin,pepper fruit,20.5,fruit,0.77,insecticide,pyrethroid,vegetables,crop (interior),CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F)C  ,,6.8,541.44,85.62,C,RRS
101007-06-1,acrinathrin,pepper fruit,20.5,fruit,2.08,insecticide,pyrethroid,vegetables,crop (interior),CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F)C  ,,6.8,541.44,85.62,C,RRS
101007-06-1,acrinathrin,pepper fruit,20.5,fruit,6.76,insecticide,pyrethroid,vegetables,crop (interior),CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F)C  ,,6.8,541.44,85.62,C,RRS
101007-06-1,acrinathrin,pepper fruit,20.5,fruit,7.11,insecticide,pyrethroid,vegetables,crop (interior),CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F)C  ,,6.8,541.44,85.62,C,RRS
101007-06-1,acrinathrin,zucchini,15.9,fruit,1.01,insecticide,pyrethroid,vegetables,crop (interior),CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F)C  ,,6.8,541.44,85.62,C,RRS
101007-06-1,acrinathrin,zucchini,15.9,fruit,1.32,insecticide,pyrethroid,vegetables,crop (interior),CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F)C  ,,6.8,541.44,85.62,C,RRS
116-06-3,aldicarb,apple,21.4,flesh,4.8,insecticide,carbamate,fruits,crop (interior),CC(C)(C=NOC(=O)NC)SC,,1.1,190.27,50.69,C,S
116-06-3,aldicarb,banana,26.4,flesh,6.5,insecticide,carbamate,fruits,crop (interior),CC(C)(C=NOC(=O)NC)SC,,1.1,190.27,50.69,C,S
116-06-3,aldicarb,onion,19.8,flesh,5.8,insecticide,carbamate,root crops,crop (interior),CC(C)(C=NOC(=O)NC)SC,,1.1,190.27,50.69,C,S
116-06-3,aldicarb,pear,22.4,flesh,6.7,insecticide,carbamate,fruits,crop (interior),CC(C)(C=NOC(=O)NC)SC,,1.1,190.27,50.69,C,S
116-06-3,aldicarb,potato,17.1,flesh,5.9,insecticide,carbamate,root crops,crop (interior),CC(C)(C=NOC(=O)NC)SC,,1.1,190.27,50.69,C,S
67375-30-8,alpha-cypermethrin,tomato,25,fruit,7.3,insecticide,pyrethroid,vegetables,crop (interior),CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,,6,416.3,59.32,C,RRS
959-98-8,alpha-endosulfan,chilli,24.3,fruit,1.47,insecticide,organochlorine,vegetables,crop (interior),C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,,3.8,406.93,35.53,S,R
959-98-8,alpha-endosulfan,chilli,24.3,fruit,1.58,insecticide,organochlorine,vegetables,crop (interior),C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,,3.8,406.93,35.53,S,R
959-98-8,alpha-endosulfan,muskmelon,20.9,fruit,0.95,insecticide,organochlorine,fruits,crop (interior),C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,,3.8,406.93,35.53,S,R
959-98-8,alpha-endosulfan,pepper fruit,20.5,fruit,1.22,insecticide,organochlorine,vegetables,crop (interior),C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,,3.8,406.93,35.53,S,R
959-98-8,alpha-endosulfan,pepper fruit,20.5,fruit,1.5,insecticide,organochlorine,vegetables,crop (interior),C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,,3.8,406.93,35.53,S,R
959-98-8,alpha-endosulfan,tomato,25,fruit,1.7,insecticide,organochlorine,vegetables,crop (interior),C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,,3.8,406.93,35.53,S,R
64249-01-0,anilofos,rice,20.8,grain,3.76,herbicide,organophosphate,cereals,crop (interior),CC(C)N(C1=CC=C(C=C1)Cl)C(=O)CSP(=S)(OC)OC  ,,3.8,381.89,38.77,P,-
11141-17-6,azadirachtin,olive,15.5,fruit,0.8,insecticide,botanical insecticide,fruits,crop (interior),C/C=C(\C)/C(=O)O[C@H]1C[C@H]([C@]2(CO[C@@H]3[C@@H]2[C@]14CO[C@@]([C@H]4[C@]([C@@H]3O)(C)[C@@]56[C@@H]7C[C@H]([C@@]5(O6)C)[C@]8(C=CO[C@H]8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C  ,,-0.6,720.72,215.34,C,complicated
11141-17-6,azadirachtin,peach,23.5,fruit surface,1.11,insecticide,botanical insecticide,fruits,crop surface,C/C=C(\C)/C(=O)O[C@H]1C[C@H]([C@]2(CO[C@@H]3[C@@H]2[C@]14CO[C@@]([C@H]4[C@]([C@@H]3O)(C)[C@@]56[C@@H]7C[C@H]([C@@]5(O6)C)[C@]8(C=CO[C@H]8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C  ,,-0.6,720.72,215.34,C,complicated
11141-17-6,azadirachtin,peach,23.5,fruit surface,1.11,insecticide,botanical insecticide,fruits,crop surface,C/C=C(\C)/C(=O)O[C@H]1C[C@H]([C@]2(CO[C@@H]3[C@@H]2[C@]14CO[C@@]([C@H]4[C@]([C@@H]3O)(C)[C@@]56[C@@H]7C[C@H]([C@@]5(O6)C)[C@]8(C=CO[C@H]8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C  ,,-0.6,720.72,215.34,C,complicated
11141-17-6,azadirachtin,peach,23.5,fruit surface,1.68,insecticide,botanical insecticide,fruits,crop surface,C/C=C(\C)/C(=O)O[C@H]1C[C@H]([C@]2(CO[C@@H]3[C@@H]2[C@]14CO[C@@]([C@H]4[C@]([C@@H]3O)(C)[C@@]56[C@@H]7C[C@H]([C@@]5(O6)C)[C@]8(C=CO[C@H]8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C  ,,-0.6,720.72,215.34,C,complicated
11141-17-6,azadirachtin,peach,23.5,fruit,2,insecticide,botanical insecticide,fruits,crop (interior),C/C=C(\C)/C(=O)O[C@H]1C[C@H]([C@]2(CO[C@@H]3[C@@H]2[C@]14CO[C@@]([C@H]4[C@]([C@@H]3O)(C)[C@@]56[C@@H]7C[C@H]([C@@]5(O6)C)[C@]8(C=CO[C@H]8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C  ,,-0.6,720.72,215.34,C,complicated
11141-17-6,azadirachtin,peach,23.5,fruit,2.22,insecticide,botanical insecticide,fruits,crop (interior),C/C=C(\C)/C(=O)O[C@H]1C[C@H]([C@]2(CO[C@@H]3[C@@H]2[C@]14CO[C@@]([C@H]4[C@]([C@@H]3O)(C)[C@@]56[C@@H]7C[C@H]([C@@]5(O6)C)[C@]8(C=CO[C@H]8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C  ,,-0.6,720.72,215.34,C,complicated
11141-17-6,azadirachtin,peach,23.5,fruit,2.38,insecticide,botanical insecticide,fruits,crop (interior),C/C=C(\C)/C(=O)O[C@H]1C[C@H]([C@]2(CO[C@@H]3[C@@H]2[C@]14CO[C@@]([C@H]4[C@]([C@@H]3O)(C)[C@@]56[C@@H]7C[C@H]([C@@]5(O6)C)[C@]8(C=CO[C@H]8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C  ,,-0.6,720.72,215.34,C,complicated
11141-17-6,azadirachtin,peach,23.5,fruit,2.8,insecticide,botanical insecticide,fruits,crop (interior),C/C=C(\C)/C(=O)O[C@H]1C[C@H]([C@]2(CO[C@@H]3[C@@H]2[C@]14CO[C@@]([C@H]4[C@]([C@@H]3O)(C)[C@@]56[C@@H]7C[C@H]([C@@]5(O6)C)[C@]8(C=CO[C@H]8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C  ,,-0.6,720.72,215.34,C,complicated
11141-17-6,azadirachtin,peach,23.5,fruit,3.06,insecticide,botanical insecticide,fruits,crop (interior),C/C=C(\C)/C(=O)O[C@H]1C[C@H]([C@]2(CO[C@@H]3[C@@H]2[C@]14CO[C@@]([C@H]4[C@]([C@@H]3O)(C)[C@@]56[C@@H]7C[C@H]([C@@]5(O6)C)[C@]8(C=CO[C@H]8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C  ,,-0.6,720.72,215.34,C,complicated
11141-17-6,azadirachtin,peach,23.5,fruit surface,3.2,insecticide,botanical insecticide,fruits,crop surface,C/C=C(\C)/C(=O)O[C@H]1C[C@H]([C@]2(CO[C@@H]3[C@@H]2[C@]14CO[C@@]([C@H]4[C@]([C@@H]3O)(C)[C@@]56[C@@H]7C[C@H]([C@@]5(O6)C)[C@]8(C=CO[C@H]8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C  ,,-0.6,720.72,215.34,C,complicated
11141-17-6,azadirachtin,peach,23.5,fruit,3.73,insecticide,botanical insecticide,fruits,crop (interior),C/C=C(\C)/C(=O)O[C@H]1C[C@H]([C@]2(CO[C@@H]3[C@@H]2[C@]14CO[C@@]([C@H]4[C@]([C@@H]3O)(C)[C@@]56[C@@H]7C[C@H]([C@@]5(O6)C)[C@]8(C=CO[C@H]8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C  ,,-0.6,720.72,215.34,C,complicated
11141-17-6,azadirachtin,peach,23.5,fruit,3.88,insecticide,botanical insecticide,fruits,crop (interior),C/C=C(\C)/C(=O)O[C@H]1C[C@H]([C@]2(CO[C@@H]3[C@@H]2[C@]14CO[C@@]([C@H]4[C@]([C@@H]3O)(C)[C@@]56[C@@H]7C[C@H]([C@@]5(O6)C)[C@]8(C=CO[C@H]8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C  ,,-0.6,720.72,215.34,C,complicated
11141-17-6,azadirachtin,peach,23.5,fruit,4.57,insecticide,botanical insecticide,fruits,crop (interior),C/C=C(\C)/C(=O)O[C@H]1C[C@H]([C@]2(CO[C@@H]3[C@@H]2[C@]14CO[C@@]([C@H]4[C@]([C@@H]3O)(C)[C@@]56[C@@H]7C[C@H]([C@@]5(O6)C)[C@]8(C=CO[C@H]8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C  ,,-0.6,720.72,215.34,C,complicated
11141-17-6,azadirachtin,strawberry,16.8,fruit,0.73,insecticide,botanical insecticide,fruits,crop (interior),C/C=C(\C)/C(=O)O[C@H]1C[C@H]([C@]2(CO[C@@H]3[C@@H]2[C@]14CO[C@@]([C@H]4[C@]([C@@H]3O)(C)[C@@]56[C@@H]7C[C@H]([C@@]5(O6)C)[C@]8(C=CO[C@H]8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C  ,,-0.6,720.72,215.34,C,complicated
11141-17-6,azadirachtin,strawberry,16.8,fruit,2.05,insecticide,botanical insecticide,fruits,crop (interior),C/C=C(\C)/C(=O)O[C@H]1C[C@H]([C@]2(CO[C@@H]3[C@@H]2[C@]14CO[C@@]([C@H]4[C@]([C@@H]3O)(C)[C@@]56[C@@H]7C[C@H]([C@@]5(O6)C)[C@]8(C=CO[C@H]8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C  ,,-0.6,720.72,215.34,C,complicated
86-50-0,azinphos-methyl,apple,21.4,fruit,10,insecticide,organophosphate,fruits,crop (interior),COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,,2.8,317.33,66.24,P,mixed
86-50-0,azinphos-methyl,apple,21.4,fruit,122,insecticide,organophosphate,fruits,crop (interior),COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,x,2.8,317.33,66.24,P,mixed
86-50-0,azinphos-methyl,lemon,27.2,fruit,5,insecticide,organophosphate,fruits,crop (interior),COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,,2.8,317.33,66.24,P,mixed
